,lat,long,name,location,rating
0,43.7722113,-79.4992198,Seneca @ York Fitness Centre,York University,4
1,43.776605,-79.506924,Toronto Track and Field Centre,York University,4.3
2,43.7744899,-79.509738,York Wrestling Club,York University,5
3,43.7852062,-79.4747885,Fit4Less,York University,3.8
4,43.7743322,-79.5117132,South Utility Field,York University,0
5,43.7692803,-79.4686729,GoodLife Fitness Toronto Dufferin,York University,3.7
6,43.779647,-79.4896864,Fitness Ninja,York University,0
7,43.77207,-79.478571,LPS Athletic Centre,York University,4.9
8,43.7632339,-79.4991241,FitSole,York University,0
9,43.784998,-79.470906,GoodLife Fitness North York Dufferin and Steeles,York University,3.4
10,43.7836591,-79.4727915,Catalyst Training Systems,York University,4.9
11,43.7765061,-79.4738101,Siberia Boxing Club,York University,4.7
12,43.7799119,-79.4701018,Grant's MMA and Boxing Gym,York University,5
13,43.7764866,-79.4739379,H2T Elite Dryland Training Inc,York University,5
14,43.7741073,-79.4727615,Ultimate Calisthenics,York University,4.9
15,43.7566729,-79.4661566,Sunny Gym,York University,4.2
16,43.7722979,-79.472493,Fitness Marketing,York University,0
17,43.7649059,-79.477241,Jadaco Recreation Management/Sports Edge,York University,3.7
18,43.758532,-79.477543,North York Fit Body Boot Camp,York University,5
19,43.766914,-79.47289,In-Tech High Performance Training,York University,5
20,43.8544809,-79.5526595,Express Fitness Woodbridge,Vaughan Corporate,4.3
21,43.8527071,-79.5209911,Anytime Fitness,Vaughan Corporate,3.8
22,43.7791088,-79.5435359,Life Time Athletic,Vaughan Corporate,3.4
23,43.8699852,-79.5154839,Pure Fx Fitness Studio,Vaughan Corporate,4.9
24,43.8505689,-79.5320745,Orangetheory Fitness,Vaughan Corporate,4.7
25,43.7985008,-79.5012867,GoodLife Fitness Vaughan Keele Street,Vaughan Corporate,3.7
26,43.8067225,-79.5508941,Body Barre Fitness & Training Studio,Vaughan Corporate,5
27,43.8634471,-79.4845378,Pure Motivation Fitness Studios,Vaughan Corporate,4.7
28,43.799605,-79.5451737,F45 Vaughan Metropolitan,Vaughan Corporate,4.9
29,43.8127801,-79.5524597,Anytime Fitness,Vaughan Corporate,4.2
30,43.7945464,-79.5461933,Turf Athletic Club,Vaughan Corporate,4.9
31,43.7906509,-79.5451883,GoodLife Fitness Vaughan Weston and Northview,Vaughan Corporate,3.6
32,43.8469988,-79.5518882,GoodLife Fitness Vaughan Major MacKenzie,Vaughan Corporate,3.6
33,43.812229,-79.5518873,The Fit Loft,Vaughan Corporate,5
34,43.7732179,-79.6186051,Bodies By Design Personal Training Fitness Centre,Vaughan Corporate,4.8
35,43.7775081,-79.6233785,Integrity Fitness,Vaughan Corporate,4.9
36,43.782883,-79.627607,GoodLife Fitness Vaughan Milani Blvd,Vaughan Corporate,3.6
37,43.7834759,-79.5647022,Reebok CrossFit East Woodbridge,Vaughan Corporate,4.9
38,43.786555,-79.55873,Dance Passion Dance/Fitness Studio,Vaughan Corporate,4.8
39,43.827703,-79.55061,BodyWorx Vitality Inc.,Vaughan Corporate,4.8
40,43.759094,-79.5571508,Body Head Boxing Club,Humber Summit,4.2
41,43.7588876,-79.5430219,Lanna MMA,Humber Summit,4.8
42,43.7662085,-79.5730746,Bodies 2 Envy Fitness Studio,Humber Summit,4.6
43,43.767098,-79.564692,Body Blast Health & Wellness,Humber Summit,3
44,43.7680892,-79.5619711,Woodbridge Fit Body Boot Camp,Humber Summit,5
45,43.7497215,-79.5314743,Sandra Jean Fitness,Humber Summit,0
46,43.7700354,-79.5506125,Studio City Wellness Centre,Humber Summit,5
47,43.757313,-79.519962,Planet Fitness,Humber Summit,4.1
48,43.7499695,-79.5537075,Black Tiger Karate & Self Defense,Humber Summit,5
49,43.766552,-79.561196,Emery Village Hockey Training Rinks,Humber Summit,4.8
50,43.7560171,-79.514554,Fit4Less,Humber Summit,4.3
51,43.7342234,-79.5591784,"Before And After Fitness Club, Inc.",Humber Summit,4.6
52,43.789621,-79.5353346,GoodLife Fitness Vaughan Interchange,Humber Summit,4
53,43.7485431,-79.5963628,skate park,Humber Summit,0
54,43.7873018,-79.553056,Muay Thai Kickboxing Woodbridge,Humber Summit,0
55,43.7305402,-79.6088859,Humber College Fitness Centre North Campus,Humber Summit,4.3
56,43.1715688,-79.266346,Gymnastics Energy Training,Emergy,3.8
57,43.1791361,-79.2531599,Energy Fitness Studio,Emergy,4.6
58,43.3694434,-80.9493146,Crunch Fitness,Emergy,3.7
59,43.5198094,-79.8800306,Fit Body Boot Camp,Emergy,4.7
60,43.5184427,-79.8732558,Fit4Less,Emergy,4
61,44.183365,-81.6079879,Kincardine Fit Body Boot Camp,Emergy,5
62,42.3166495,-82.9317115,Crunch Fitness - Windsor,Emergy,4
63,43.368418,-79.754513,Womens Fitness Clubs of Canada,Emergy,4.3
64,43.8996627,-79.4444239,Wynn Fitness Richmond Hill,Emergy,4.1
65,42.9849819,-81.2417945,Centre Branch YMCA,Emergy,4.4
66,42.9622325,-81.2853039,Forest City Fitness,Emergy,4.9
67,43.7257789,-79.480759,Wynn Fitness North York,Emergy,4.5
68,43.8355842,-79.0873102,Womens Fitness Clubs of Canada,Emergy,4.5
69,43.4681468,-80.5690096,Orangetheory Fitness,Emergy,4.8
70,43.87979,-79.438365,Womens Fitness Clubs of Canada,Emergy,4.1
71,43.7887165,-79.2357239,Wynn Fitness Scarborough,Emergy,3.8
72,43.6477545,-79.3727035,Wynn Fitness Toronto,Emergy,3.9
73,43.4381166,-80.5659188,Movati Athletic Waterloo,Emergy,3.6
74,43.578896,-79.6490702,Habitual Fitness & Lifestyle,Emergy,4.9
75,42.9904095,-81.2948756,Movati Athletic London North,Emergy,4.2
76,43.7626464,-79.499201,YCRC Gym,Jane and Finch,3.4
77,43.7438899,-79.4837111,Downsview Park parking lots,Jane and Finch,0
78,43.758479,-79.481154,Krav Maga Maleh Canada | Simple. Natural. Effective.,Jane and Finch,5
79,43.7863224,-79.4688943,Orangetheory Fitness North York,Jane and Finch,4.8
80,43.7453603,-79.4744052,True North Climbing,Jane and Finch,4.4
81,43.757916,-79.4749957,Zullo Health & Fitness,Jane and Finch,0
82,43.722278,-79.3380247,GoodLife Fitness North York Don Mills and Eglinton,North York,3.8
83,43.719901,-79.3317602,GoodLife Fitness North York Parkview,North York,3.7
84,43.7655968,-79.3868288,Toronto Sheppard Ave. YMCA Centre,North York,3.4
85,43.7446003,-79.4048637,GoodLife Fitness North York York Mills,North York,3.8
86,43.8013629,-79.3438625,GoodLife Fitness North York Willowdale,North York,3.7
87,43.7649785,-79.4120749,GoodLife Fitness North York Madison Centre,North York,3.6
88,43.7800579,-79.416465,GoodLife Fitness North York Northridge,North York,3.4
89,43.716713,-79.4476832,Fit4Less,North York,3.1
90,43.7645025,-79.3961415,North York Karate & Fitness,North York,5
91,43.7726164,-79.3283118,GoodLife Fitness North York Sheppard East,North York,3.4
92,43.7407283,-79.3207088,Krudar Muay Thai: Don Mills,North York,4.9
93,43.7427326,-79.3135961,GoodLife Fitness North York Victoria Terrace,North York,3.9
94,43.8137883,-79.3444304,GoodLife Fitness North York Steeles and Woodbine,North York,4
95,43.7563533,-79.3589717,Body + Soul Fitness,North York,4.7
96,42.330908,-83.885539,Dexter Wellness Center,William Baker,4.6
97,43.7473393,-79.4764514,Heads Up High Performance,Downsview,5
98,43.7571399,-79.4742033,Mayfair Clubs,Downsview,4.5
99,43.7261884,-79.4620385,Atlas Boxing & Fitness Ctr.,Downsview,4.3
100,43.7231379,-79.4706522,The One Muay Thai and Fitness,Downsview,4.6
101,43.7241906,-79.4712235,APEX Training Centre,Downsview,4.8
102,43.7437192,-79.4712718,BMO TFC Training Facility,Downsview,5
103,43.757,-79.474819,"HHC Home Fitness, Exercise Equipment Rental & Personal Trainers",Downsview,4
104,43.7191032,-79.5074268,Herbalife Health and Fitness | North York,Downsview,0
105,43.7291741,-79.4926221,TREKFIT - Outdoor fitness,Downsview,0
106,43.7246942,-79.4662933,The Performance Lab,Downsview,5
107,43.7243557,-79.4706082,Hook Up Muay Thai Boxing,Downsview,5
108,43.7527991,-79.4654799,The System: The Art & Science of Coaching (Elite Athletic Performance),Downsview,4.9
109,43.7294388,-79.4822969,Paramount Rehabilitation Centre,Downsview,4
110,43.8128174,-79.4558662,Build Yourself Fitness Inc,North Park,4.9
111,43.652488,-79.470786,System Fitness High Park,North Park,4
