,lat,long,name,location,rating
0,43.7633517,-79.4992774,Your Community Grocers,York University,3.6
1,43.774324,-79.501244,Nutrition House York Lanes,York University,4
2,43.776575,-79.4698612,Coppa's Fresh Market,York University,4.4
3,43.7506743,-79.4871378,Apirami Supermarket,York University,4
4,43.7849173,-79.47107,Real Canadian Superstore,York University,4.1
5,43.7462274,-79.4872,Long Fa Supermarket,York University,3.7
6,43.7730638,-79.4778493,Pelmen Perogies,York University,4.7
7,43.7541227,-79.4686309,Grocery Outlet,York University,4.2
8,43.7561902,-79.518979,Jian Hing Supermarket,York University,3.9
9,43.7766988,-79.4858192,Janes Family Foods,York University,3.9
10,43.7557871,-79.5166573,FreshCo,York University,4
11,43.764577,-79.4679471,Yummy Market,York University,4.5
12,43.7804947,-79.4754793,Sabatini Gourmet Foods,York University,3.4
13,43.7541835,-79.4877013,Vito's No Frills,York University,3.9
14,43.756772,-79.5150835,Cactus Exotic Foods,York University,3.2
15,43.7856251,-79.4804347,IMCA Euro Food,York University,4.7
16,43.7598853,-79.4675854,Brandfusion,York University,0
17,43.7387475,-79.5115985,Win Farm Supermarket,York University,3.4
18,43.7561542,-79.5188713,Kien Hung Supermarket,York University,3.9
19,43.8143299,-79.606364,Longo's Rutherford,Vaughan Corporate,4.4
20,43.8271792,-79.5582384,Longo's Weston,Vaughan Corporate,4.3
21,43.847738,-79.46139,Longo's Bathurst,Vaughan Corporate,4.4
22,43.8516657,-79.5361581,Longo's Maple,Vaughan Corporate,4.1
23,43.8919597,-79.4439947,Longo's Richmond Hill,Vaughan Corporate,4.5
24,43.7921136,-79.6535256,Longo's Central Kitchen,Vaughan Corporate,2.6
25,43.756167,-79.439997,Metro,Vaughan Corporate,3.6
26,43.788877,-79.5549,Fortinos,Vaughan Corporate,4.4
27,43.8109398,-79.551432,Centro Quality Meats,Vaughan Corporate,4.8
28,43.787519,-79.5493921,Nations Fresh Food,Vaughan Corporate,3.9
29,43.8461351,-79.4605608,Sobeys Vaughan,Vaughan Corporate,4
30,43.7856303,-79.5932506,Cataldi Fresh Market Inc.,Vaughan Corporate,4
31,43.8441927,-79.5576876,FreshCo.,Vaughan Corporate,4.1
32,43.8492176,-79.5328709,Fortinos,Vaughan Corporate,4.3
33,43.8238944,-79.6092835,Food Basics,Vaughan Corporate,4.1
34,43.8080996,-79.4519579,T&T Supermarket,Vaughan Corporate,4.1
35,43.7928261,-79.6237162,Fortinos,Vaughan Corporate,4.4
36,43.8270133,-79.5539341,Fab's No Frills,Vaughan Corporate,3.9
37,43.8848646,-79.5206615,Maple Barn Store,Vaughan Corporate,2.9
38,43.7485634,-79.5616913,Centra food market,Humber Summit,3.8
39,43.7531004,-79.542035,Caribbean Food Basket,Humber Summit,5
40,43.7513961,-79.548841,Makola Tropical Foods,Humber Summit,5
41,43.7529636,-79.5421948,"De Karibbean King Roti Shop, Bakery & Grocery",Humber Summit,4.8
42,43.7492936,-79.5533658,Cesar's Latin Market,Humber Summit,3.9
43,43.750598,-79.542643,Carribean Island Food,Humber Summit,4
44,43.759973,-79.5922112,Uthaya's Supermarket,Humber Summit,3.7
45,43.7629111,-79.5309108,Fiera Foods Inc,Humber Summit,3.8
46,43.7512829,-79.543961,N K Meats,Humber Summit,4
47,43.7538499,-79.5420374,Bantama Supermarket,Humber Summit,3
48,43.763843,-79.5289256,Magazin romanesc,Humber Summit,0
49,43.7751903,-79.5260062,Liberty Pure Water African Super Market & Beauty Supply,Humber Summit,0
50,43.7355787,-79.5596188,Food Basics,Humber Summit,3.9
51,43.7361367,-79.5636501,New Samiramis Supermarket,Humber Summit,4.2
52,43.7383702,-79.565272,India Bazaar,Humber Summit,3.9
53,43.7453047,-79.5276345,Anatolian Turkish Bazaar,Humber Summit,5
54,43.750718,-79.584017,Rabba Fine Foods,Humber Summit,3.7
55,43.2254116,-77.3196991,Save A Lot,Emergy,4.2
56,48.490593,-81.1988522,Metro,Emergy,4.1
57,43.1706863,-79.2624682,FreshCo,Emergy,4.1
58,43.7536033,-79.3493191,Galleria Supermarket,Emergy,4.3
59,44.9184781,-78.7210378,Foodland - Minden,Emergy,4.1
60,43.2634789,-79.953769,Metro,Emergy,3.8
61,48.3817121,-89.2905921,Metro,Emergy,4
62,46.4500868,-81.00032,Metro (Metro),Emergy,4
63,43.7196194,-79.4308906,Metro,Emergy,4.1
64,43.4119111,-79.7074302,Metro,Emergy,4
65,43.6281176,-79.5492262,Metro Ontario Inc,Emergy,3.6
66,43.1261214,-79.2039465,Foodland - Thorold,Emergy,4.1
67,43.6489157,-79.3731886,Metro,Emergy,4.1
68,45.1173832,-79.5860091,Foodland - Port Carling,Emergy,4.1
69,43.6397195,-79.4178243,Metro,Emergy,4.1
70,44.0983014,-77.5769431,Metro,Emergy,4
71,45.4285449,-75.6872818,Metro,Emergy,3.9
72,48.3822375,-89.3069951,Metro,Emergy,4
73,43.6541798,-79.4194156,Metro,Emergy,3.8
74,43.7631716,-79.4996835,Your Community Grocers Ltd,Jane and Finch,3.1
75,43.7400207,-79.5120025,Price Chopper,Jane and Finch,3.8
76,43.7590528,-79.5187862,Durante's No Frills,Jane and Finch,3.9
77,43.7477725,-79.5220042,R.P. Super Market,Jane and Finch,0
78,43.747727,-79.5234232,Asian Food Centre,Jane and Finch,3.6
79,43.7523458,-79.5163646,Iyappans Groceries,Jane and Finch,5
80,43.7496458,-79.516801,Simi African Foods,Jane and Finch,4.5
81,43.7589862,-79.5188033,Convenience,Jane and Finch,0
82,43.7911274,-79.3680135,Sunny Supermarket,North York,3.7
83,43.7083338,-79.4768839,Metro,North York,4.2
84,43.7043773,-79.4923681,Superking Supermarket,North York,3.9
85,43.797942,-79.3688558,Galati Market Fresh,North York,4.1
86,43.725663,-79.482841,Btrust Supermarket,North York,3.8
87,43.7743718,-79.4131188,Metro,North York,4.1
88,43.7141023,-79.3332732,Sunny Foodmart,North York,3.9
89,43.7282192,-79.4812952,Metro,North York,4
90,43.7187483,-79.3004819,Great Food Supermarket,North York,3.6
91,43.7113497,-79.5169623,Brioni Supermarket,North York,4.1
92,43.747213,-79.385525,Metro,North York,4
93,43.73389,-79.343711,Metro,North York,4
94,43.7263358,-79.4500852,Williams-Sonoma,William Baker,3.7
95,43.6536663,-79.380217,Williams-Sonoma,William Baker,4.1
96,43.6123268,-79.5580171,Williams-Sonoma,William Baker,3.9
97,48.403725,-89.2437785,UFCW Canada,William Baker,5
98,43.6027713,-79.7337891,UFCW Canada,William Baker,0
99,46.4877786,-81.0069049,Ufcw Canada,William Baker,0
100,43.7194275,-79.5115434,Blue Sky Supermarket,Downsview,3.6
101,43.7217697,-79.5106754,Food Basics,Downsview,3.9
102,43.719413,-79.507672,Afro Caribbean Foods,Downsview,3.9
103,43.7187827,-79.5118136,Kabul Farms Supermarket,Downsview,3.8
104,43.7198757,-79.5099783,Carlo's No Frills,Downsview,4
105,43.7295147,-79.4823851,Market-tino,Downsview,4.3
106,43.7241233,-79.5089969,African King Meat Shop (African and Caribbean food market),Downsview,4.9
107,43.7261839,-79.4617156,Warehouse,Downsview,0
108,43.7077748,-79.5054705,Oba Market,Downsview,4.2
109,43.734756,-79.744243,Sobeys North Park,North Park,4.1
110,43.75056,-79.726715,Asian Food Centre,North Park,3.8
111,43.2612836,-79.8707656,Tan Thanh Supermarket,North Park,3.8
112,43.7111734,-79.3786139,Metro,North Park,4.1
113,43.726812,-79.4031119,Metro,North Park,3.8
114,43.7607454,-79.4104411,Whole Foods Market,North Park,4.2
115,43.7297768,-79.7495374,Krown Convenience,North Park,0
116,43.7070994,-79.3995881,Metro,North Park,3.7
117,43.667882,-79.372066,Food Basics,North Park,3.5
118,44.2472682,-76.5236123,Food Basics,North Park,4
119,43.4182833,-80.4511969,Food Basics,North Park,4
120,43.7050819,-79.4425128,Zito's Marketplace,North Park,4.3
121,43.7050513,-79.3470926,Food Basics,North Park,3.7
122,43.4502074,-80.4454932,Zehrs,North Park,4
123,45.439496,-75.675644,Metro,North Park,4.2
124,43.7155387,-79.3930704,Summerhill Market,North Park,4.2
125,43.6125141,-79.6999895,Seafood City Supermarket,North Park,4.1
126,43.7354337,-79.4041398,Loblaws,North Park,4.1
127,43.5267581,-79.6847701,Longo's Winston Churchill,Winston Park,4.3
128,43.6724973,-79.4704387,Nations Experience,Winston Park,4.3
129,43.7064544,-79.3595227,Longo's Leaside,Winston Park,4.5
130,43.6484461,-79.398287,Winstons Grocery,Winston Park,3
131,43.6719078,-79.3948697,Whole Foods Market,Winston Park,4.1
132,43.5509582,-79.7188286,Nations Fresh Foods,Winston Park,4.2
133,43.6424523,-79.3809167,Longo's Maple Leaf Square,Winston Park,4.3
134,43.7141093,-79.377852,Whole Foods Market,Winston Park,4.1
135,43.6768708,-79.4941565,Food Basics,Winston Park,3.6
136,43.5955921,-79.7838278,Real Canadian Superstore,Winston Park,4.1
137,43.6667744,-79.4466864,Food Basics,Winston Park,4.2
138,43.7544744,-79.3568954,Longo's York Mills,Winston Park,4.2
139,43.7868176,-79.4164831,Food Basics,Winston Park,3.7
140,43.6232402,-79.4825351,Metro,Winston Park,4.1
141,43.521097,-79.685779,Starsky Fine Foods,Winston Park,4.5
142,43.7658306,-79.2835048,Highland Farms,Winston Park,4.3
143,43.6724047,-79.4703461,Nations Fresh Foods,Winston Park,4.3
144,42.9512944,-79.8536711,Foodland - Cayuga,Fishervill,4.1
145,42.9612748,-80.0500364,Foodland - Hagersville,Fishervill,4.3
146,42.9523216,-80.0624683,Ron's No Frills,Fishervill,3.9
147,43.0786104,-79.9503015,Food Basics,Fishervill,4.4
148,42.9019944,-79.6159139,Food Basics,Fishervill,4.2
149,42.902618,-79.5977407,Sobeys Dunnville,Fishervill,4.3
150,43.061771,-79.9613194,Zehrs,Fishervill,3.8
151,43.1249388,-79.8012398,FreshCo,Fishervill,4.2
152,42.8851329,-80.1141373,Jarvis Food Market,Fishervill,4
153,42.9622923,-80.0526368,Giant Tiger,Fishervill,4.2
154,42.9633519,-80.0507291,Fresh & Organic Market,Fishervill,0
155,42.9757533,-80.0334509,??????,Fishervill,0
156,43.1919148,-79.8146559,Sobeys Stone Church,Fishervill,4.2
157,43.1981928,-79.871596,Food Basics,Fishervill,4.1
158,43.188303,-79.8409663,"Lococo's (Nebo) - Fresh Fruits, Vegetables and Meats",Fishervill,4.6
159,43.2285428,-79.8375082,Metro,Fishervill,4
160,43.1970476,-80.0220699,Longo's Ancaster,Fishervill,4.5
161,43.2297015,-79.8792514,Metro,Fishervill,4
162,43.2162325,-79.7956596,Foodland - Hamilton,Fishervill,3.7
163,43.0967885,-79.5380055,Foodland - Smithville,Fishervill,4.1
164,43.6674075,-79.7327394,Food Basics,Streeles Corners,3.9
165,43.6640807,-79.7344678,Real Canadian Superstore,Streeles Corners,4.2
166,43.6786055,-79.7481135,Metro,Streeles Corners,4
167,43.7186239,-79.6354877,Chalo FreshCo,Streeles Corners,4.1
168,43.6667742,-79.5786614,MRAKOVIC,Streeles Corners,4.4
169,43.7182163,-79.721315,FreshCo,Streeles Corners,4.1
170,43.6760642,-79.7721796,FreshCo,Streeles Corners,4
171,43.7740934,-79.6533129,Food Basics,Streeles Corners,3.8
172,43.723405,-79.8131874,Food Basics,Streeles Corners,4
173,43.7311996,-79.762995,Metro,Streeles Corners,4.1
174,43.7287399,-79.7968069,Metro,Streeles Corners,4
175,43.7017362,-79.7556855,Food Basics,Streeles Corners,3.7
176,43.6896361,-79.7383577,Seasons Foodmart,Streeles Corners,3.5
177,43.666707,-79.77915,Sobeys Brampton,Streeles Corners,4
178,43.7813215,-79.7494402,Sobeys Airport Road,Streeles Corners,4.1
179,43.696408,-79.8009987,Metro (Metro),Streeles Corners,3
180,43.6579128,-79.726188,Longo's Brampton,Streeles Corners,4.5
