,Codes,lat,long,commute_time,commute_time_min
0,M3J 3M6,43.7717834,-79.4995635,3 mins,3
1,M7A 2C5,43.7775621,-79.5076464,4 mins,4
2,M3J 2S5,43.7713835,-79.504835,7 mins,7
3,M3J 2C1,43.6548565,-79.4599289,27 mins,27
4,M3J 3K8,43.7694119,-79.5035172,6 mins,6
5,M3J 3L9,43.7754676,-79.4978062,2 mins,2
6,M3J 3K9,43.7693127,-79.5040443,6 mins,6
7,M3J 3L1,43.7692136,-79.5045715,6 mins,6
8,M3J 1L2,43.7687542,-79.503605,8 mins,8
9,M3J 3L2,43.7689501,-79.5049229,7 mins,7
10,M3J 3L3,43.7689989,-79.50545,6 mins,6
11,M3J 1L1,43.7689525,-79.5025507,7 mins,7
12,M3J 1L3,43.7681948,-79.5039565,8 mins,8
13,M3J 0B5,43.7682964,-79.5010571,6 mins,6
14,M3J 0B9,43.7684947,-79.5000028,7 mins,7
15,M3J 1L4,43.7680923,-79.5076464,7 mins,7
16,M3J 0C4,43.7687341,-79.4989923,7 mins,7
17,L5M 0Y4,43.5617742,-79.7231612,32 mins,32
18,M3J 0A6,43.7677679,-79.5033415,7 mins,7
19,M3J 0J5,43.7679803,-79.4872619,5 mins,5
20,M3J 0J8,43.7846797,-79.4744536,6 mins,6
21,L4K 4T4,43.7791357,-79.5118634,4 mins,4
22,M3J 0C8,43.7690064,-79.497938,6 mins,6
23,M3J 0B6,43.7679516,-79.5005299,7 mins,7
24,M3J 0A2,43.7675695,-79.5043958,7 mins,7
25,M3J 2Z8,43.7826764,-79.4877891,3 mins,3
26,M3J 0B8,43.7681329,-79.5000906,7 mins,7
27,M3J 0C3,43.7682654,-79.4991241,7 mins,7
28,M3N 3A6,43.77072,-79.5104577,8 mins,8
29,M3J 0A7,43.7674232,-79.5028143,7 mins,7
30,M3J 0A9,43.7675386,-79.5024629,7 mins,7
31,M3J 1P3,43.7728399,-79.4949945,1 min,1
32,M3J 0A5,43.7671923,-79.5035172,8 mins,8
33,M3J 0C5,43.7683645,-79.498597,7 mins,7
34,M3J 0E3,43.7690897,-79.4968397,6 mins,6
35,M3J 0B4,43.7677207,-79.5012328,6 mins,6
36,M3J 0B2,43.7677037,-79.5018478,7 mins,7
37,M3J 0C2,43.7675743,-79.4996513,6 mins,6
38,M3J 0C9,43.7685629,-79.4975426,6 mins,6
39,M3J 0B7,43.767376,-79.5007057,7 mins,7
40,M3J 0A3,43.7670109,-79.5039565,8 mins,8
41,M3J 0B3,43.7670459,-79.5019357,7 mins,7
42,M3J 0K6,43.7679803,-79.4872619,5 mins,5
43,M3J 0A8,43.7668475,-79.50299,7 mins,7
44,M3J 0L1,43.7698801,-79.5011078,6 mins,6
45,M3J 0C6,43.7677726,-79.498597,6 mins,6
46,M3J 0C1,43.7681499,-79.4994756,7 mins,7
47,M3J 0E2,43.7687279,-79.4969275,6 mins,6
48,M3J 0A1,43.7669939,-79.5045715,8 mins,8
49,M3J 0C7,43.7684637,-79.4980698,7 mins,7
50,M3J 3T2,43.7671629,-79.5000028,7 mins,7
51,M3J 0E1,43.767971,-79.4975426,6 mins,6
52,M3J 0A4,43.7666491,-79.5040443,8 mins,8
53,M3J 2N9,43.7759322,-79.4932371,2 mins,2
54,M3J 0K5,43.7679803,-79.4872619,5 mins,5
55,M3J 0K7,43.7679803,-79.4872619,5 mins,5
56,M3J 2P3,43.7726221,-79.5150259,7 mins,7
57,M3J 3T3,43.7666422,-79.5027704,7 mins,7
