,Unnamed: 0,name,cent_lat,cent_long,num_students,commute_time,supermarkets,fitness,restaurants,scores
0,0,R_1,43.75893573,-79.556164,0,1007,93.9,37.6,144.6,0.6826326
1,1,R_2,43.74341237,-79.54247722,0,1110,16.5,0,9.2,0.311945233
2,2,R_3,43.71551501,-79.48071175,0,1252,0,0,0,0.193662
3,3,R_4,43.76489132,-79.52198709,0,805,34.5,8.2,53.6,0.562352783
4,4,R_5,43.74569612,-79.513424,0,1064,81.8,8.6,83,0.533527883
5,5,R_6,43.76486471,-79.4560388,0,1016,3.6,9.6,0,0.3492036
6,6,R_7,43.77888954,-79.45232742,0,1036,0,0,0,0.313866
7,7,R_8,43.74191845,-79.44618987,0,1222,9.3,0,18.6,0.2415895
8,8,R_9,43.75421814,-79.42454441,0,1410,8.8,7.2,17.6,0.148041333
9,9,R_10,43.77114981,-79.42778223,0,1205,4.1,0,8.2,0.233586667
10,10,R_11,43.78584767,-79.43140643,0,1104,4.4,6.8,8.8,0.302845167
11,11,R_12,43.7915653,-79.40591713,0,1361,3.7,0,0,0.1404072
12,12,R_13,43.77068153,-79.40149173,0,1583,29,18.2,41.4,0.12782305
13,13,R_14,43.79681874,-79.38210293,0,1584,0,0,0,0.008904
14,14,R_15,43.77765648,-79.55903091,0,715,51.7,61.4,95.6,0.769589483
15,15,R_16,43.78630673,-79.51697586,0,829,4.8,15.4,9.6,0.47245875
16,16,R_17,43.79369618,-79.48466739,0,911,4.7,0,0,0.3928332
17,17,R_18,43.79911913,-79.46009366,0,876,4.1,9.4,0,0.42775985
18,18,R_19,43.80441992,-79.43510034,0,1141,0,0,0,0.2554335
19,19,R_20,43.77401039,-79.50567577,0,314,25.9,26.6,43.8,0.84432575
20,20,R_21,43.76773796,-79.49908778,0,374,12.2,0,24.4,0.723240667
21,21,R_22,43.75612825,-79.50345573,0,832,0,0,0,0.427392
22,22,R_23,43.74787636,-79.4938923,0,918,8.2,0,9,0.4020492
23,23,R_24,43.75905684,-79.49488848,0,739,6.7,6.8,0,0.5045977
24,24,R_25,43.77419409,-79.48652025,0,182,40.1,0,72.4,0.918492567
25,25,R_26,43.75739807,-79.48358164,0,756,7.9,17.4,0,0.51631365
26,26,R_27,43.77638208,-79.47458924,0,670,21.1,80.6,9,0.70863685
27,27,R_28,43.76008809,-79.47023164,0,914,22,55.2,26.6,0.541606533
28,28,R_29,43.72659352,-79.52003173,0,1219,28.1,0,25.6,0.285628467
29,29,R_30,43.72957754,-79.49559346,0,1128,30,0,34.8,0.3463156
30,30,R_31,43.7336602,-79.47397346,0,1179,64.8,17,113,0.470751883
