,lat,long,name,rating
0,43.7722113,-79.4992198,Seneca @ York Fitness Centre,4
1,43.776605,-79.506924,Toronto Track and Field Centre,4.3
2,43.7744899,-79.509738,York Wrestling Club,5
3,43.7852062,-79.4747885,Fit4Less,3.8
4,43.7692803,-79.4686729,GoodLife Fitness Toronto Dufferin,3.7
5,43.784998,-79.470906,GoodLife Fitness North York Dufferin and Steeles,3.4
6,43.7799119,-79.4701018,Grant's MMA and Boxing Gym,5
7,43.7743322,-79.5117132,South Utility Field,0
8,43.758532,-79.477543,North York Fit Body Boot Camp,5
9,43.779647,-79.4896864,Fitness Ninja,0
10,43.77207,-79.478571,LPS Athletic Centre,4.9
11,43.7288465,-79.3767717,Glendon Athletic Club,4.1
12,43.7632339,-79.4991241,FitSole,0
13,43.7764866,-79.4739379,H2T Elite Dryland Training Inc,5
14,43.7765061,-79.4738101,Siberia Boxing Club,4.7
15,43.7722979,-79.472493,Fitness Marketing,0
16,43.757916,-79.4749957,Zullo Health & Fitness,0
17,43.7566729,-79.4661566,Sunny Gym,4.2
18,43.7649059,-79.477241,Jadaco Recreation Management/Sports Edge,3.7
19,43.766914,-79.47289,In-Tech High Performance Training,5
20,43.757,-79.474819,"HHC Home Fitness, Exercise Equipment Rental & Personal Trainers",4
21,43.7571399,-79.4742033,Mayfair Clubs,4.5
22,43.7558658,-79.4769771,The Skating Lab Toronto,0
23,43.7832552,-79.4710424,Natalia's Body Shaping School,0
24,43.758479,-79.481154,Krav Maga Maleh Canada | Simple. Natural. Effective.,5
25,43.7527991,-79.4654799,The System: The Art & Science of Coaching (Elite Athletic Performance),4.9
26,43.757313,-79.519962,Planet Fitness,4.1
27,43.7797494,-79.487119,York Muay Thai,5
28,43.7643506,-79.4824287,Martial Arts Depot Inc,4
29,43.7560171,-79.514554,Fit4Less,4.3
30,43.7747279,-79.513796,Canlan Ice Sports,4
31,43.7648511,-79.4699565,Discovery Gymnastics,4.3
32,43.8144119,-79.5311006,Crossfit Vortex,5
33,43.7863224,-79.4688943,Orangetheory Fitness North York,4.8
34,43.7806677,-79.469837,Train with Nat,5
35,43.7985008,-79.5012867,GoodLife Fitness Vaughan Keele Street,3.7
36,43.789621,-79.5353346,GoodLife Fitness Vaughan Interchange,4
37,43.8024101,-79.497029,Vaughan Strength and Conditioning,4.9
38,43.7832664,-79.4897663,CrossFit 647,5
39,43.7906509,-79.5451883,GoodLife Fitness Vaughan Weston and Northview,3.6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
