,lat,long,name,rating
0,43.7633517,-79.4992774,Your Community Grocers,3.6
1,43.774324,-79.501244,Nutrition House York Lanes,4
2,43.776575,-79.4698612,Coppa's Fresh Market,4.4
3,43.7506743,-79.4871378,Apirami Supermarket,4
4,43.7462274,-79.4872,Long Fa Supermarket,3.7
5,43.7541835,-79.4877013,Vito's No Frills,3.9
6,43.764577,-79.4679471,Yummy Market,4.5
7,43.7730638,-79.4778493,Pelmen Perogies,4.7
8,43.7766988,-79.4858192,Janes Family Foods,3.9
9,43.7541227,-79.4686309,Grocery Outlet,4.2
10,43.7849173,-79.47107,Real Canadian Superstore,4.1
11,43.7506743,-79.4871378,Kibi and Babi Super Market,4
12,43.7804947,-79.4754793,Sabatini Gourmet Foods,3.2
13,43.7598853,-79.4675854,Brandfusion,0
14,43.7557871,-79.5166573,FreshCo,4
15,43.7561902,-79.518979,Jian Hing Supermarket,3.9
16,43.756772,-79.5150835,Cactus Exotic Foods,3.2
17,43.747727,-79.5234232,Asian Food Centre,3.6
18,43.7856251,-79.4804347,IMCA Euro Food,4.8
19,43.7387475,-79.5115985,Win Farm Supermarket,3.4
20,43.7561542,-79.5188713,Kien Hung Supermarket,3.9
21,43.7477725,-79.5220042,R.P. Super Market,0
22,43.7531004,-79.542035,Caribbean Food Basket,5
23,43.7590528,-79.5187862,Durante's No Frills,3.9
24,43.725663,-79.482841,Btrust Supermarket,3.8
25,43.750598,-79.542643,Carribean Island Food,4.1
26,43.7282192,-79.4812952,Metro,4
27,43.756167,-79.439997,Metro,3.6
28,43.7523458,-79.5163646,Iyappans Groceries,5
29,43.7496458,-79.516801,Simi African Foods,4.5
30,43.7589862,-79.5188033,Convenience,0
31,43.7492936,-79.5533658,Cesar's Latin Market,3.9
32,43.7387709,-79.5400082,Naomi African Food Market,4.7
33,43.7217697,-79.5106754,Food Basics,3.9
34,43.7513961,-79.548841,Makola Tropical Foods,5
35,43.7194275,-79.5115434,Blue Sky Supermarket,3.6
36,43.7485634,-79.5616913,Centra food market,3.8
37,43.7629111,-79.5309108,Fiera Foods Inc,3.7
38,43.7692899,-79.5219699,Pacific Fresh Food Market,3.6
39,43.7743718,-79.4131188,Metro,4.1
