,lat,long,name,location,rating
0,43.7751785,-79.4940601,The Islands Caribbean Restaurant,York University,4.4
1,43.7741629,-79.5022522,Shopsy's Sports Grill .,York University,3.8
2,43.7819148,-79.4914024,Sandra’s Italian Kitchen,York University,4.7
3,43.7738555,-79.4920539,Bamiyan Kabob,York University,4.3
4,43.7701903,-79.5006502,Amaya Express,York University,4.1
5,43.7695944,-79.5018918,San Francesco Foods,York University,4
6,43.7818596,-79.4917008,Genji Sushi,York University,4.6
7,43.782365,-79.489289,Caspi Restaurant,York University,4.8
8,43.7740219,-79.5028783,Jimmy the Greek,York University,4.2
9,43.7699667,-79.501867,Basil Box,York University,4.1
10,43.7821908,-79.4902766,Dormet Grill Kabob And Shawarma,York University,4.5
11,43.7738289,-79.4920948,Osmow's - 4205 Keele St,York University,4.3
12,43.7585909,-79.4662136,Hurry Curry | Indian Restaurant,York University,3.7
13,43.7644847,-79.4893248,Falafel Express Restaurant,York University,4.5
14,43.7822044,-79.4904413,Sunnyside Grill Steeles,York University,4.5
15,43.7551195,-79.4685757,Home Sweet Home,York University,4.7
16,43.7740864,-79.5026567,Pagoda Tree,York University,1.7
17,43.7730345,-79.498331,Schulich Executive Dining Room,York University,4.3
18,43.7647178,-79.4758955,Chicken place,York University,4.9
19,43.7729717,-79.5048328,Central Square Cafeteria,York University,3.5
20,43.8288104,-79.5491021,"Ay Caramba, Eh!",Vaughan Corporate,4.8
21,43.7797773,-79.5709676,Romano's Restaurant,Vaughan Corporate,4.4
22,43.789337,-79.587131,Memphis BBQ,Vaughan Corporate,4.7
23,43.8142718,-79.5524147,Mandarin Restaurant,Vaughan Corporate,4.1
24,43.8061207,-79.5508368,Nove Ristorante,Vaughan Corporate,4.4
25,43.782247,-79.573993,That's Italian Ristorante,Vaughan Corporate,4.3
26,43.826748,-79.555866,Zizi Trattoria,Vaughan Corporate,4.4
27,43.7919048,-79.5470617,The Burger's Priest,Vaughan Corporate,4.3
28,43.807733,-79.549945,Ricci's Pizzeria & Sandwich Shoppe,Vaughan Corporate,4.4
29,43.814172,-79.5242773,Anna Maria Trattoria,Vaughan Corporate,4.6
30,43.786118,-79.5487042,Bâton Rouge Steakhouse & Bar,Vaughan Corporate,4.2
31,43.7851663,-79.5445866,Symposium Cafe Restaurant & Lounge,Vaughan Corporate,4.2
32,43.787249,-79.5440549,Moxie's Grill & Bar,Vaughan Corporate,4.1
33,43.8546069,-79.5145943,Farro Ristorante,Vaughan Corporate,4.5
34,43.7862525,-79.5570954,Siamese Thai Cuisine,Vaughan Corporate,4.2
35,43.7855153,-79.5572356,Bocconcino Restaurant,Vaughan Corporate,4.6
36,43.7868109,-79.5448221,Jack Astor's Bar & Grill,Vaughan Corporate,3.9
37,43.7977002,-79.5487953,The Lobster Trap Restaurant,Vaughan Corporate,4.2
38,43.8305909,-79.5404786,Astoria Shish Kebob House,Vaughan Corporate,4.3
39,43.784245,-79.600286,La Torteria,Vaughan Corporate,4.6
40,43.7529636,-79.5421948,"De Karibbean King Roti Shop, Bakery & Grocery",Humber Summit,4.8
41,43.7598992,-79.5710679,Peppers Caribbean Restaurant,Humber Summit,4.6
42,43.7580979,-79.5697824,Las Calenas Restaurant,Humber Summit,4.8
43,43.770967,-79.541172,Garden Of Eden Sport Bar & Restaurant Ltd.,Humber Summit,4.5
44,43.7656022,-79.5571057,Barmakey Restaurant & Bar,Humber Summit,4.7
45,43.7511178,-79.5522393,Dunia Restaurant and Bar,Humber Summit,4.1
46,43.7530295,-79.5422662,Las Fronteras Restaurant,Humber Summit,4.3
47,43.7709138,-79.541383,Flaming Star Restaurant,Humber Summit,4.5
48,43.7511277,-79.5487929,De Place,Humber Summit,4.3
49,43.7693252,-79.549196,Ali Baba's Middle Eastern Cuisine,Humber Summit,4.3
50,43.7573901,-79.5377836,Globe Meats Fresh Market + Grill,Humber Summit,4.3
51,43.7688705,-79.5665761,Artigiano Ristorante,Humber Summit,4.6
52,43.7489351,-79.5606722,Punjabi Taste,Humber Summit,3.8
53,43.7502034,-79.5528898,Mr. Sub,Humber Summit,4
54,43.7671683,-79.5644807,La Fonte Trattoria,Humber Summit,4.7
55,43.748855,-79.5592935,Fritou,Humber Summit,4.2
56,43.770181,-79.551298,La Empanada Cafe,Humber Summit,4.6
57,43.7490431,-79.559322,Wing Machine,Humber Summit,3.4
58,43.7503539,-79.5519187,Hakka No.1 Restaurant,Humber Summit,3.7
59,43.7576965,-79.5697894,Pizza Hub,Humber Summit,4
60,45.0468771,-78.6969195,Rhubarb,Emergy,4.5
61,43.6541714,-79.4015556,Pow Wow Cafe,Emergy,4.7
62,44.3033049,-78.3213282,Soupcon,Emergy,4.9
63,44.9273722,-76.541434,Wheelers Maple Products,Emergy,4.8
64,45.0188012,-74.7099516,Roma's,Emergy,4.4
65,43.681489,-79.400025,Scaramouche Restaurant,Emergy,4.7
66,46.5004983,-81.0052384,Tucos Taco Lounge,Emergy,4.7
67,44.3030414,-78.3244554,Two Dishes Cookshop,Emergy,4.6
68,49.765672,-94.520799,Subway,Emergy,4.5
69,50.256169,-96.061565,Subway,Emergy,3.7
70,43.2400056,-79.848625,Papa Leo's,Emergy,4.6
71,43.257261,-79.8671654,The Mule,Emergy,4.5
72,45.4102103,-75.6926866,Wilf & Ada's,Emergy,4.6
73,42.9605572,-81.2615997,Craft Farmacy,Emergy,4.6
